participant,accuracy,balanced_accuracy,f1_score,sensitivity,specificity
P7,0.5099075297225891,0.5464670140184823,0.18995633187772928,0.5918367346938775,0.5010972933430871
P12,0.6074313408723748,0.5255994729907774,0.1926910299003322,0.42028985507246375,0.6309090909090909
P8,0.7235079171741778,0.6150229837024654,0.09320905459387484,0.5,0.730045967404931
P6,0.6611295681063123,0.6611295681063123,0.0,,0.6611295681063123
P15,0.7689581856839122,0.5344418409036289,0.041176470588235294,0.2916666666666667,0.7772170151405912
P13,0.673469387755102,0.6185109903946469,0.33785617367706916,0.538961038961039,0.6980609418282548
P9,0.7918334667734187,0.7918334667734187,0.0,,0.7918334667734187
P18,0.6844396082698585,0.6844396082698585,0.0,,0.6844396082698585
P24,0.6475332068311196,0.527044013496978,0.22361546499477536,0.35906040268456374,0.6950276243093922
P14,0.7757847533632287,0.6383888388838883,0.015748031496062992,0.5,0.7767776777677767
P23,0.7328,0.8661858974358974,0.011834319526627219,1.0,0.7323717948717948
P21,0.7641296156744537,0.7641296156744537,0.0,,0.7641296156744537
P16,0.45975232198142413,0.45975232198142413,0.0,,0.45975232198142413
P20,0.7357549857549858,0.8676890156918687,0.010666666666666666,1.0,0.7353780313837375
P11,0.6257822277847309,0.5718884120171674,0.2506265664160401,0.5,0.6437768240343348
P22,0.6156682027649769,0.7179444811632518,0.06292134831460673,0.8235294117647058,0.6123595505617978
P5,0.6614084507042254,0.6517651699428045,0.10164424514200299,0.6415094339622641,0.662020905923345
P10,0.7250922509225092,0.6842419419021091,0.029315960912052116,0.6428571428571429,0.7256267409470752
