participant,accuracy,balanced_accuracy,f1_score,sensitivity,specificity
P7,0.52443857331572,0.5575494279643094,0.19642857142857142,0.5986394557823129,0.5164594001463058
P12,0.6429725363489499,0.602635046113307,0.2558922558922559,0.5507246376811594,0.6545454545454545
P8,0.6207876573284612,0.49282132410005375,0.05081300813008131,0.35714285714285715,0.6284997910572503
P6,0.5946843853820598,0.5946843853820598,0.0,,0.5946843853820598
P15,0.7058823529411765,0.4818853640951694,0.028103044496487123,0.25,0.7137707281903388
P13,0.6614252258280361,0.5883938314686237,0.3058984910836762,0.48268398268398266,0.6941036802532647
P9,0.7253803042433947,0.7253803042433947,0.0,,0.7253803042433947
P18,0.6545157780195865,0.6545157780195865,0.0,,0.6545157780195865
P24,0.5313092979127134,0.5280433089843894,0.24,0.5234899328859061,0.532596685082873
P14,0.7076233183856502,0.6041854185418543,0.012121212121212123,0.5,0.7083708370837084
P23,0.7152,0.6909722222222222,0.007434944237918216,0.6666666666666666,0.7152777777777778
P21,0.6812358703843255,0.6812358703843255,0.0,,0.6812358703843255
P16,0.5588235294117647,0.5588235294117647,0.0,,0.5588235294117647
P20,0.7250712250712251,0.862339514978602,0.010256410256410256,1.0,0.724679029957204
P11,0.5936587400917814,0.559241773962804,0.24024960998439934,0.5133333333333333,0.6051502145922747
P22,0.5622119815668203,0.6329037232870677,0.04809619238476953,0.7058823529411765,0.5599250936329588
P5,0.6366197183098592,0.5749841123748165,0.07725321888412016,0.5094339622641509,0.640534262485482
P10,0.7250922509225092,0.5423133041517443,0.0165016501650165,0.35714285714285715,0.7274837511606314
